Franchise,Rank,Release,lifetime_gross,Max_Theaters,opening_gross,Open_Theaters,Release_Date,Distributor
Middle Earth,11,The Lord of the Rings: The Two Towers2011 Re-release,764607,522,0,-,"Jun 21, 2011",Warner Bros.
The Fast and the Furious,1,Furious 7,353007020,"4,022",147187040,"4,004","Apr 3, 2015",Universal Pictures
The Fast and the Furious,2,Fast & Furious 6,238679850,"3,771",97375245,"3,658","May 24, 2013",Universal Pictures
The Fast and the Furious,3,The Fate of the Furious,226008385,"4,329",98786705,"4,310","Apr 14, 2017",Universal Pictures
The Fast and the Furious,4,Fast Five,209837675,"3,793",86198765,"3,644","Apr 29, 2011",Universal Pictures
The Fast and the Furious,5,Fast & Furious Presents: Hobbs & Shaw,173956935,"4,344",60038950,"4,253","Aug 2, 2019",Universal Pictures
The Fast and the Furious,6,Fast & Furious,155064265,"3,674",70950500,"3,461","Apr 3, 2009",Universal Pictures
The Fast and the Furious,7,The Fast and the Furious,144533925,"2,899",40089015,"2,628","Jun 22, 2001",Universal Pictures
The Fast and the Furious,8,2 Fast 2 Furious,127154901,"3,418",50472480,"3,408","Jun 6, 2003",Universal Pictures
The Fast and the Furious,9,The Fast and the Furious: Tokyo Drift,62514415,"3,030",23973840,"3,027","Jun 16, 2006",Universal Pictures
The Fast and the Furious,-,F9,0,-,0,-,"Apr 2, 2021",Universal Pictures
The Fast and the Furious,-,Fast & Furious 10,0,-,0,-,"Apr 2, 2021",Universal Pictures
Transformers,1,Transformers: Revenge of the Fallen,402111870,"4,293",108966307,"4,234","Jun 24, 2009",DreamWorks
Transformers,2,Transformers: Dark of the Moon,352390543,"4,088",97852865,"4,088","Jun 29, 2011",DreamWorks
Transformers,3,Transformers,319246193,"4,050",70502384,"4,011","Jul 3, 2007",DreamWorks
Transformers,4,Transformers: Age of Extinction,245439076,"4,233",100038390,"4,233","Jun 27, 2014",Paramount Pictures
Transformers,5,Transformers: The Last Knight,130168683,"4,132",44680073,"4,069","Jun 21, 2017",Paramount Pictures
Transformers,6,Bumblebee,127195589,"3,597",21654047,"3,550","Dec 21, 2018",Paramount Pictures
Transformers,7,The Transformers: The Movie,5849647,990,1779559,990,"Aug 8, 1986",De Laurentiis Entertainment Group (DEG)
Pirates of the Caribbean,1,Pirates of the Caribbean: Dead Man's Chest,423315812,"4,133",135634554,"4,133","Jul 7, 2006",Walt Disney Studios Motion Pictures
Pirates of the Caribbean,2,Pirates of the Caribbean: At World's End,309420425,"4,362",114732820,"4,362","May 25, 2007",Walt Disney Studios Motion Pictures
Pirates of the Caribbean,3,Pirates of the Caribbean: The Curse of the Black Pearl,305413918,"3,416",46630690,"3,269","Jul 9, 2003",Walt Disney Studios Motion Pictures
Pirates of the Caribbean,4,Pirates of the Caribbean: On Stranger Tides,241071802,"4,164",90151958,"4,155","May 20, 2011",Walt Disney Studios Motion Pictures
Pirates of the Caribbean,5,Pirates of the Caribbean: Dead Men Tell No Tales,172558876,"4,276",62983253,"4,276","May 26, 2017",Walt Disney Studios Motion Pictures
The Hunger Games,1,The Hunger Games: Catching Fire,424668047,"4,163",158074286,"4,163","Nov 22, 2013",Lionsgate
The Hunger Games,2,The Hunger Games,408010692,"4,137",152535747,"4,137","Mar 23, 2012",Lionsgate
The Hunger Games,3,The Hunger Games: Mockingjay - Part 1,337135885,"4,151",121897634,"4,151","Nov 21, 2014",Lionsgate
The Hunger Games,4,The Hunger Games: Mockingjay - Part 2,281723902,"4,175",102665981,"4,175","Nov 20, 2015",Lionsgate
Shrek,1,Shrek 2,441226247,"4,223",108037878,"4,163","May 19, 2004",DreamWorks Distribution
Shrek,2,Shrek the Third,322719944,"4,172",121629270,"4,122","May 18, 2007",DreamWorks
Shrek,3,Shrek,267665011,"3,715",42347760,"3,587","May 16, 2001",DreamWorks Distribution
Shrek,4,Shrek Forever After,238736787,"4,386",70838207,"4,359","May 21, 2010",DreamWorks
Shrek,5,Puss in Boots,149260504,"3,963",34077439,"3,952","Oct 28, 2011",DreamWorks
Star Trek,1,Star Trek,257730019,"4,053",75204289,"3,849","May 8, 2009",Paramount Pictures
Star Trek,2,Star Trek Into Darkness,228778661,"3,907",70165559,"3,868","May 16, 2013",Paramount Pictures
Star Trek,3,Star Trek Beyond,158848340,"3,928",59253211,"3,928","Jul 22, 2016",Paramount Pictures
Star Trek,4,Star Trek IV: The Voyage Home,109713132,"1,956",16881888,"1,349","Nov 26, 1986",Paramount Pictures
Star Trek,5,Star Trek: First Contact,92027888,"2,812",30716131,"2,812","Nov 22, 1996",Paramount Pictures
Star Trek,6,Star Trek,82258456,"1,002",11926421,857,"Dec 7, 1979",Paramount Pictures
Star Trek,7,Star Trek II: The Wrath of Khan,78912963,"1,621",14347221,"1,621","Jun 4, 1982",Paramount Pictures
Star Trek,8,Star Trek III: The Search for Spock,76471046,"1,966",16673295,"1,966","Jun 1, 1984",Paramount Pictures
Star Trek,9,Star Trek: Generations,75671125,"2,681",23116394,"2,659","Nov 18, 1994",Paramount Pictures
Star Trek,10,Star Trek VI: The Undiscovered Country,74888996,"2,147",18162837,"1,804","Dec 6, 1991",Paramount Pictures
Star Trek,11,Star Trek: Insurrection,70187658,"2,677",22052836,"2,620","Dec 11, 1998",Paramount Pictures
Star Trek,12,Star Trek V: The Final Frontier,52210049,"2,202",17375648,"2,202","Jun 9, 1989",Paramount Pictures
Star Trek,13,Star Trek: Nemesis,43254409,"2,711",18513305,"2,711","Dec 13, 2002",Paramount Pictures
Star Trek,14,Star Trek2019 Re-release,346243,627,220007,627,"Sep 15, 2019",Fathom Events
Twilight,1,The Twilight Saga: Eclipse,300531751,"4,468",64832191,"4,468","Jun 30, 2010",Summit Entertainment
Twilight,2,The Twilight Saga: New Moon,296623634,"4,124",142839137,"4,024","Nov 20, 2009",Summit Entertainment
Twilight,3,The Twilight Saga: Breaking Dawn - Part 2,292324737,"4,070",141067634,"4,070","Nov 16, 2012",Lionsgate
Twilight,4,The Twilight Saga: Breaking Dawn - Part 1,281287133,"4,066",138122261,"4,061","Nov 18, 2011",Summit Entertainment
Twilight,5,Twilight,192769854,"3,649",69637740,"3,419","Nov 21, 2008",Summit Entertainment
Twilight,6,Twilight/The Twilight Saga: New Moon,2385237,"2,037",0,-,"Jun 29, 2010",Summit Entertainment
Twilight,6,Twilight/The Twilight Saga: New Moon,2385237,"2,037",0,-,"Jun 29, 2010",Summit Entertainment
